congress,chamber,rollnumber,icpsr,cast_code,prob
117,House,1,21530.0,1,100.0
117,House,1,21531.0,6,100.0
117,House,1,21536.0,1,100.0
117,House,1,21538.0,1,100.0
117,House,1,21539.0,6,100.0
117,House,1,21540.0,1,99.8
117,House,1,21541.0,6,100.0
117,House,1,21542.0,6,99.9
117,House,1,21544.0,6,100.0
117,House,1,21545.0,1,100.0
117,House,1,21548.0,1,100.0
117,House,1,21551.0,6,100.0
117,House,1,21554.0,1,100.0
117,House,1,21556.0,6,100.0
117,House,1,21557.0,6,100.0
117,House,1,21559.0,6,100.0
117,House,1,21561.0,6,100.0
117,House,1,21562.0,6,100.0
117,House,1,21563.0,6,100.0
117,House,1,21564.0,6,100.0
117,House,1,21565.0,6,100.0
117,House,1,21566.0,1,100.0
117,House,1,21700.0,6,100.0
117,House,1,21701.0,6,100.0
117,House,1,21702.0,6,100.0
117,House,1,21703.0,1,100.0
117,House,1,21704.0,6,100.0
117,House,1,21705.0,6,100.0
117,House,1,21706.0,1,100.0
117,House,1,21707.0,1,100.0
117,House,1,21708.0,6,100.0
117,House,1,21709.0,1,100.0
117,House,1,21710.0,6,100.0
117,House,1,21711.0,1,99.7
117,House,1,21712.0,1,98.5
117,House,1,21713.0,1,100.0
117,House,1,21714.0,6,100.0
117,House,1,21715.0,1,100.0
117,House,1,21717.0,6,100.0
117,House,1,21718.0,6,99.2
117,House,1,21719.0,6,100.0
117,House,1,21720.0,6,100.0
117,House,1,21722.0,1,99.8
117,House,1,21723.0,1,89.0
117,House,1,21724.0,6,100.0
117,House,1,21725.0,6,100.0
117,House,1,21726.0,1,100.0
117,House,1,21727.0,6,100.0
117,House,1,21728.0,1,100.0
117,House,1,21730.0,1,100.0
117,House,1,21731.0,6,100.0
117,House,1,21732.0,1,99.5
117,House,1,21735.0,6,100.0
117,House,1,21736.0,1,100.0
117,House,1,21738.0,1,90.0
117,House,1,21739.0,1,95.6
117,House,1,21740.0,1,99.8
117,House,1,21741.0,1,100.0
117,House,1,21744.0,6,100.0
117,House,1,21745.0,6,100.0
117,House,1,21746.0,1,100.0
117,House,1,21747.0,1,97.4
117,House,1,21750.0,6,100.0
117,House,1,21753.0,6,100.0
117,House,1,21754.0,1,100.0
117,House,1,21755.0,6,100.0
117,House,1,21756.0,6,16.6
117,House,1,21757.0,6,100.0
117,House,1,21758.0,6,100.0
117,House,1,21759.0,6,100.0
117,House,1,21760.0,6,100.0
117,House,1,21761.0,1,99.9
117,House,1,21762.0,1,100.0
117,House,1,21763.0,1,99.1
117,House,1,21900.0,1,100.0
